,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Baykit,RU,61.67,96.37,31.71,93,100,5.88,overcast clouds
80,Jamestown,US,42.097,-79.2353,49.59,59,100,12.66,overcast clouds
81,Dwarka,IN,22.2394,68.9678,82.29,77,96,12.03,overcast clouds
82,San Andres,CO,12.5847,-81.7006,86.02,79,100,12.66,overcast clouds
83,Busselton,AU,-33.65,115.3333,47.17,80,87,3.87,overcast clouds
84,Baoning,CN,25.3378,110.026,55.13,86,100,2.62,overcast clouds
85,Souillac,MU,-20.5167,57.5167,71.98,68,40,11.5,scattered clouds
86,Fort Frances,CA,48.5999,-93.4003,48.16,46,0,10.36,clear sky
87,Liverpool,GB,53.4106,-2.9779,53.55,80,0,20.71,clear sky
88,Ponta Do Sol,PT,32.6667,-17.1,72.72,84,28,7.23,scattered clouds
89,Saldanha,ZA,-33.0117,17.9442,59.14,83,19,17.45,few clouds
90,Elat,IL,29.5581,34.9482,80.44,61,0,12.66,clear sky
91,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,74,75,9.22,light intensity drizzle
92,Thompson,CA,55.7435,-97.8558,48.81,52,100,11.21,overcast clouds
93,Ostrovnoy,RU,68.0531,39.5131,41.29,85,4,16.44,clear sky
94,Bom Jardim,BR,-7.7958,-35.5872,79.25,62,4,16.78,clear sky
95,Maldonado,UY,-34.6667,-54.9167,67.39,45,0,6.91,clear sky
96,Marion,US,39.7684,-86.1555,61.18,42,20,16.11,few clouds
97,Provideniya,RU,64.3833,-173.3,37.13,65,55,8.41,broken clouds
98,Wukari,NG,7.85,9.7833,74.23,93,100,6.49,overcast clouds
99,Victoria,HK,22.2855,114.1577,80.33,78,11,13.0,few clouds
100,Pacific Grove,US,36.6177,-121.9166,77.38,82,0,6.91,haze
101,Tuatapere,NZ,-46.1333,167.6833,43.32,76,73,5.14,broken clouds
102,Bethel,US,41.3712,-73.414,78.03,55,20,6.91,few clouds
103,Magadan,RU,59.5667,150.8,23.41,72,91,3.89,overcast clouds
104,Georgetown,MY,5.4112,100.3354,78.24,85,20,0.0,few clouds
105,Ampanihy,MG,-24.7,44.75,72.39,65,0,4.41,clear sky
106,Castanos,MX,26.7833,-101.4167,71.19,61,75,6.91,broken clouds
107,Cumbum,IN,9.7333,77.3,71.31,92,89,5.79,overcast clouds
108,Mubende,UG,0.5606,31.39,61.16,90,100,1.28,overcast clouds
109,Solnechnyy,RU,50.7214,136.6319,30.18,72,18,0.31,few clouds
110,Teacapan,MX,22.55,-105.75,85.37,59,6,7.4,clear sky
111,Srednekolymsk,RU,67.45,153.6833,14.74,80,74,16.11,broken clouds
112,Kupang,ID,-10.1667,123.5833,79.36,82,7,7.4,clear sky
113,Fayaoue,NC,-20.65,166.5333,75.33,81,37,23.53,scattered clouds
114,Saint George,US,37.1041,-113.5841,85.78,25,0,4.61,clear sky
115,Jidong,CN,45.2167,131.0833,34.81,57,90,3.24,overcast clouds
116,Shostka,UA,51.863,33.4698,46.9,87,7,2.89,clear sky
117,Tupelo,US,34.2576,-88.7034,84.49,32,0,13.8,clear sky
118,Kaitangata,NZ,-46.2817,169.8464,41.81,76,10,3.15,clear sky
119,Avarua,CK,-21.2078,-159.775,77.05,78,40,17.27,scattered clouds
120,Quatre Cocos,MU,-20.2078,57.7625,71.71,67,17,16.8,few clouds
121,Alyangula,AU,-13.8483,136.4192,79.41,82,61,4.88,broken clouds
122,Arrifes,PT,37.7667,-25.7,72.23,83,40,5.75,scattered clouds
123,Dukat,RU,62.55,155.55,1.08,99,92,4.34,overcast clouds
124,Sur,OM,22.5667,59.5289,79.23,76,0,6.2,clear sky
125,Nanortalik,GL,60.1432,-45.2371,36.46,83,48,16.06,scattered clouds
126,Vila Velha,BR,-20.3297,-40.2925,80.55,78,0,12.66,clear sky
127,Mar Del Plata,AR,-38.0023,-57.5575,75.22,35,0,12.66,clear sky
128,Isoka,ZM,-10.1606,32.6335,67.57,32,2,5.97,clear sky
129,Dikson,RU,73.5069,80.5464,33.19,99,100,13.98,light snow
130,Gamba,GA,-2.65,10.0,76.41,83,100,6.6,light rain
131,San Patricio,US,28.017,-97.5169,84.15,57,100,5.64,overcast clouds
132,Agogo,GH,6.8,-1.0819,71.37,95,97,2.46,overcast clouds
133,Lichtenfels,DE,50.1457,11.0593,57.13,92,96,1.01,overcast clouds
134,Cuiluan,CN,47.72,128.648,28.71,72,65,1.36,broken clouds
135,Te Anau,NZ,-45.4167,167.7167,40.78,83,72,2.91,broken clouds
136,Lata,PT,40.1629,-8.3327,69.93,66,46,1.54,scattered clouds
137,Severo-Kurilsk,RU,50.6789,156.125,42.46,66,29,7.14,scattered clouds
138,San Cristobal,VE,7.7669,-72.225,82.58,65,100,5.86,overcast clouds
139,Freeport,US,40.6576,-73.5832,80.15,49,0,14.97,clear sky
140,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,93,20,4.47,few clouds
141,Brae,GB,60.3964,-1.353,48.78,76,26,17.25,light rain
142,Ulaangom,MN,49.9811,92.0667,31.93,49,10,1.63,clear sky
143,Atasu,KZ,48.6814,71.6433,54.81,42,100,9.28,overcast clouds
144,Mehamn,NO,71.0357,27.8492,46.35,71,75,16.11,broken clouds
145,Poum,NC,-20.2333,164.0167,75.38,78,9,14.03,clear sky
